national_species_latin,fauna_europea_species_latin,local_species_norwegian
Zygaena viciae,Zygaena viciae,Liten BloddrÃ¥pesvermer
Erebia disa,Erebia disa,Disas Ringvinge
Lasiommata petropolitana,Lasiommata petropolitana,Bergringvinge
Fabriciana adippe,Fabriciana adippe,Adippeperlemorvinge
Boloria improba,Boloria improba,Dvergperlemorvinge
Satyrium w-album,Satyrium w-album,Almestjertvinge
Nymphalis antiopa,Nymphalis antiopa,SÃ¸rgekÃ¥pe
Pieris brassicae,Pieris brassicae,Stor KÃ¥lsommerfugl
Melitaea diamina,Melitaea diamina,MÃ¸rk Rutevinge
Callophrys rubi,Callophrys rubi,GrÃ¸nnstjertvinge
Gonepteryx rhamni,Gonepteryx rhamni,Sitronsommerfugl
Polygonia c-album,Polygonia c-album,Hvit C
Erebia polaris,Erebia polaris,Polarringvinge
Leptidea sinapis/reali,Leptidea sinapis/reali,Skoghvitvinge/Enghvitvinge
Pieris napi,Pieris napi,Rapssommerfugl
Speyeria aglaja,Speyeria aglaja,Aglajaperlemorvinge
Zygaena filipendulae,Zygaena filipendulae,Seksflekket BloddrÃ¥pesvermer
Boloria aquilonaris,Boloria aquilonaris,Myrperlemorvinge
Fabriciana niobe,Fabriciana niobe,Niobeperlemorvinge
Boloria selene,Boloria selene,Brunflekket Perlemorvinge
Boloria polaris,Boloria polaris,Polarperlemorvinge
Agriades optilete,Agriades optilete,MyrblÃ¥vinge
Thecla betulae,Thecla betulae,SlÃ¥petornstjertvinge
Vanessa cardui,Vanessa cardui,Tistelsommerfugl
Adscita statices,Adscita statices,GrÃ¸nn Metallsvermer
Boloria eunomia,Boloria eunomia,Ringperlemorvinge
Polyommatus icarus,Polyommatus icarus,TiriltungeblÃ¥vinge
Carterocephalus silvicola,Carterocephalus silvicola,Svartflekksmyger
Plebejus argus/idas,Plebejus argus/idas,ArgusblÃ¥vinge/IdasblÃ¥vinge
Issoria lathonia,Issoria lathonia,SÃ¸lvkÃ¥pe
Celastrina argiolus,Celastrina argiolus,VÃ¥rblÃ¥vinge
Colias crocea,Colias croceus,Vandregulvinge
Favonius quercus,Favonius quercus,Eikestjertvinge
Oeneis jutta,Oeneis jutta,Juttas Ringvinge
Erebia ligea,Erebia ligea,FlÃ¸yelsringvinge
Vanessa atalanta,Vanessa atalanta,Admiral
Melitaea athalia,Melitaea athalia,Marimjellerutevinge
Coenonympha tullia,Coenonympha tullia,Myrringvinge
Anthocharis cardamines,Anthocharis cardamines,Aurorasommerfugl
Coenonympha hero,Coenonympha hero,Heroringvinge
Pontia daplidice,Pontia daplidice,Vandrehvitvinge
Boloria euphrosyne,Boloria euphrosyne,RÃ¸dflekket Perlemorvinge
Brenthis ino,Brenthis ino,Engperlemorvinge
Boloria frigga,Boloria frigga,Friggs Perlemorvinge
Papilio machaon,Papilio machaon,Svalestjert
Melitaea cinxia,Melitaea cinxia,Prikkrutevinge
Hesperia comma,Hesperia comma,Kommasmyger
Coenonympha arcania,Coenonympha arcania,Perleringvinge
Oeneis norna,Oeneis norna,Nornens Ringvinge
Scolitantides orion,Scolitantides orion,KlippeblÃ¥vinge
Colias tyche,Colias tyche,Polargulvinge
Hipparchia semele,Hipparchia semele,Kystringvinge
Pyrgus andromedae,Pyrgus andromedae,Polarsmyger
Polyommatus amandus,Polyommatus amandus,SÃ¸lvblÃ¥vinge
Euphydryas iduna,Euphydryas iduna,Iduns Rutevinge
Oeneis bore,Oeneis bore,Tundraringvinge
Boloria thore,Boloria thore,Tors Perlemorvinge
Pyrgus alveus,Pyrgus alveus,Alvesmyger
Aglais io,Aglais io,DagpÃ¥fuglÃ¸ye
Coenonympha pamphilus,Coenonympha pamphilus,Engringvinge
Pieris rapae,Pieris rapae,Liten KÃ¥lsommerfugl
Carterocephalus palaemon,Carterocephalus palaemon,Gulflekksmyger
Parnassius apollo,Parnassius apollo,Apollosommerfugl
Parnassius mnemosyne,Parnassius mnemosyne,Mnemosynesommerfugl
Zygaena lonicerae,Zygaena lonicerae,Stor BloddrÃ¥pesvermer
Boloria chariclea,Boloria chariclea,Arktisk Perlemorvinge
Agriades orbitulus,Agriades orbitulus,FjellblÃ¥vinge
Aporia crataegi,Aporia crataegi,Hagtornsommerfugl
Lycaena hippothoe,Lycaena hippothoe,Purpurgullvinge
Cyaniris semiargus,Cyaniris semiargus,EngblÃ¥vinge
Maniola jurtina,Maniola jurtina,Rappringvinge
Lycaena helle,Lycaena helle,Fiolett Gullvinge
Erynnis tages,Erynnis tages,Tiriltungesmyger
Pyrgus centaureae,Pyrgus centaureae,Moltesmyger
Nymphalis polychloros,Nymphalis polychloros,KirsebÃ¦rsommerfugl
Pyrgus malvae,Pyrgus malvae,Bakkesmyger
Boloria napaea,Boloria napaea,Fjellperlemorvinge
